title,scored_by,popularity,members,premiered,genre
Bi-Indoushi Miija: Injoku no Gakuen,488,7579,1415,,Hentai
Houseki no Kuni (TV),52156,651,129354,Fall 2017,"Action, Mystery, Drama, Fantasy, Seinen"
Saru Getchu: On Air,189,8767,766,Spring 2006,"Adventure, Comedy, Fantasy, Kids, Romance, Shounen"
Myself; Yourself,72443,615,135562,Fall 2007,"Drama, Romance, School"
Tongari Boushi no Memole: Marielle no Housekibako,64,10571,284,,"Fantasy, Magic, Shoujo"
Shimai Ijiri,314,8233,1023,,Hentai
Boku wa Sonzai Shiteinakatta,135,10222,341,,Music
Cutey Honey,2166,3773,9391,Fall 1973,"Action, Sci-Fi, School"
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, Nanode",1420,5644,3463,,"Comedy, Drama, Slice of Life"
Shin Shounan Bakusouzoku Arakure Knight,22,11616,171,,Adventure
Why Re-Mix 2002,106,11268,199,,Dementia
Perrine Monogatari Movie,25,11313,194,,"Drama, Historical, Shoujo, Slice of Life"
Shelter,108477,508,158435,,"Sci-Fi, Music"
Code:Realize - Sousei no Himegimi,9638,1651,44776,Fall 2017,"Military, Historical, Romance, Fantasy, Josei"
Hayate no Gotoku! Heaven Is a Place on Earth,13389,2273,26562,,"Harem, Comedy, Parody, Shounen"
Chameleon (OVA),155,8431,921,,"Comedy, Ecchi, School, Seinen"
Kininaru Kimochi,904,6436,2447,,Hentai
Taiyou no Hou: El Cantare e no Michi,161,9670,465,,"Historical, Fantasy"
Ookiku Furikabutte: Natsu no Taikai-hen â Mokuhyou,2662,4659,5622,,"Comedy, Sports"
Kyojin no Hoshi: Ike Ike Hyuuma,11,11816,158,,"Drama, Sports"
Cyborg 009: Call of Justice 1,779,6398,2487,,"Action, Sci-Fi, Adventure, Mecha, Shounen"
Appleseed XIII Remix Movie 1: Yuigon,693,5973,2983,,"Action, Mecha, Military, Sci-Fi, Police"
K: Seven Stories Movie 5 - Memory of Red - Burn,0,8491,893,,"Action, Super Power, Supernatural"
Bikyaku Seido Kaichou Ai,1020,6075,2859,,Hentai
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,3343,3453,11664,,"Action, Adventure, Comedy, Drama, Seinen"
Norakuro Nitouhei,69,11650,169,,Kids
Pink Mizu Dorobou Ame Dorobou,176,9094,646,,"Action, Comedy, Fantasy, Shounen"
Steamboy,28053,1526,50418,,"Action, Military, Sci-Fi, Adventure, Historical, Drama"
Aimai Elegy,1314,6721,2140,,Music
Tonagura!,18057,1905,35882,Summer 2006,"Comedy, Drama, Ecchi, Romance, School"
Ange Vierge,8605,2040,31979,Summer 2016,"Adventure, Magic, Fantasy, School"
Kowaku no Toki,2299,4468,6213,Spring 2001,Hentai
Yume,132,10423,309,,Dementia
Sansha Sanyou,13843,1775,40080,Spring 2016,"Slice of Life, Comedy, School"
Acerola-chan,46,12307,131,,Comedy
Shiawase no Tokei,44,12859,108,,Music
Mazinkaiser SKL,3982,4001,8151,,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"
Itsuka Tenma no Kuro Usagi Special,1339,5222,4198,,"Comedy, Ecchi"
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,11452,2145,29239,Winter 2009,"Action, Super Power, Magic, Romance, Fantasy"
"Hetalia Axis Powers Movie: Paint it, White",24347,1696,43232,Spring 2001,"Comedy, Historical, Parody"
YuâGiâOh! VRAINS,4336,2896,16968,Spring 2017,"Action, Fantasy, Game, Sci-Fi, Shounen"
Myself ; Yourself Specials,2098,4824,5157,,"Drama, Romance, School"
Chihayafuru 2: Waga Mi Yo ni Furu Nagame Seshi Ma ni,11597,2465,23181,,"Comedy, Josei, School, Slice of Life"
Ano Ko to Ii Koto,2058,5016,4660,,Hentai
Bayonetta: Bloody Fate,13758,2192,28143,,"Action, Demons, Fantasy, Super Power"
Muumin,1064,6114,2818,Fall 1969,"Adventure, Comedy, Fantasy, Slice of Life"
Log Horizon Recap,5055,3271,13287,,"Action, Adventure, Fantasy, Magic, Shounen"
Pia Carrot e Youkoso!!,900,6466,2417,,"Comedy, Romance, Hentai"
Hi Gekiga Ukiyoe Senya Ichiya,26,10685,265,,"Action, Hentai"
R-15,28886,1234,65825,Summer 2011,"Comedy, Ecchi, Harem, Romance, School"
Dragon Ball Z: Summer Vacation Special,2497,4409,6411,,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen"
Custom Reido,486,7710,1322,,Hentai
Tsurikichi Sanpei,1002,6603,2261,Spring 1980,"Adventure, Sports"
Makiba no Shoujo Katri,415,7440,1515,Winter 1984,"Adventure, Drama, Historical, Slice of Life"
Oretachi ni Tsubasa wa Nai: Under the Innocent Sky.,23987,1295,62593,Spring 2011,"Comedy, Drama, Ecchi, Harem, Romance"
Kujakuou: Sengoku Tensei,68,10593,280,,"Action, Demons, Historical, Supernatural"
Otoko no Ko Ojousama,874,6665,2184,Winter 2002,Hentai
Kikansha Sensei,13,12447,125,,"Comedy, School, Slice of Life"
Nendo no Tatakai 2,951,7687,1345,,"Comedy, Fantasy"
Dragon Ball Movie 1: Shen Long no Densetsu,21397,1848,37474,,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power"
Uta Kata,7016,2758,18615,Fall 2004,"Drama, Magic"
MagicalâTaruruuto-kun: Sukisuki Takoyaki!,12,12015,146,,"Adventure, Comedy, Ecchi, Fantasy, Magic, School"
Ai Shimai 2: Futari no Kajitsu,2847,4480,6153,,Hentai
Tonde Mon Pe,44,11663,167,Summer 1982,Kids
Yoroshiku Mechadock,91,9180,608,Fall 1984,"Action, Cars, Comedy, Police, Sports"
Magical Twilight,501,7868,1233,,"Hentai, Comedy, Magic, Romance"
Mao Yu Tao Hua Yuan,6,9697,456,,"Adventure, Comedy, Fantasy"
Hininden: Gauss,543,7456,1496,,Hentai
I&#039;&#039;s Pure Bonus,2809,4828,5138,,"Ecchi, Comedy, Romance"
Durarara!! Specials,70197,711,120575,,"Action, Comedy, Supernatural"
Terra e... (TV),13895,1691,43368,Spring 2007,"Action, Drama, Military, Sci-Fi, Space"
Menghuan Xiyou 2,8,13639,69,,"Action, Adventure, Fantasy, Historical, Magic"
Akuma no Riddle,80718,480,167369,Spring 2014,"Action, School, Shoujo Ai"
Kikou Souseiki Mospeada,2255,4748,5384,Fall 1983,"Action, Mecha, Military"
Master of Torque: Epilogue,45,11397,189,,Cars
Kanimanji Engi,77,11481,182,,Fantasy
Narutaru: Mukuro Naru Hoshi Tama Taru Ko,6872,2510,22348,Summer 2003,"Drama, Seinen, Thriller"
Infini-T Force Movie: Gatchaman - Saraba Tomo yo,17,8103,1103,Summer 2007,"Action, Sci-Fi, Seinen, Super Power"
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku,11893,2605,21057,,"Sci-Fi, Adventure, Super Power, Martial Arts, Fantasy, Shounen"
Danchi Tomoo,38,9092,645,Spring 2013,"Comedy, Seinen"
Green Dakara x Bakemono no Ko,737,6869,1988,Summer 2007,Music
Urahara,3683,2514,22248,Fall 2017,"Comedy, Fantasy, Psychological, Sci-Fi"
Tetopettenson,63,12477,125,,"Kids, Music"
Reijoku no Yakata,657,6657,2191,,Hentai
Mameshi-Pamyu-Pamyu,60,11077,216,,"Comedy, Parody"
Dibetagurashi: Ahiru no Seikatsu - Ahiru no Sumu Shima,6,13514,76,,"Comedy, Slice of Life"
Ribbon,89,11721,166,,Music
Kurage no Shokudou,3475,3643,10228,,"Slice of Life, Drama"
Hiiro no Kakera,28868,1175,69953,Spring 2012,"Fantasy, Romance, Shoujo, Supernatural"
Oniisama e...,4140,2935,16539,Summer 1991,"Psychological, Drama, School, Shoujo, Shoujo Ai"
Glass no Kamen Desu ga,176,8342,966,Spring 2013,"Comedy, Parody"
Lupin Shanshei Pilot,76,10079,371,,"Parody, Comedy"
Kamen Rider Den-O: Imagin Anime 2,216,9289,565,,"Action, Adventure, Comedy, Kids, Super Power"
"""0""",1133,6833,2028,,Music
Utsukushii Hoshi,78,11438,186,,Dementia
Binetsu Hime: Zange no Shou,150,9228,587,,Hentai
Afro Samurai Pilot,2207,4923,4850,,"Action, Martial Arts, Samurai, Seinen"
Mahou no Princess Minky Momo: Yume no Naka no Rondo,328,8423,928,,"Magic, Shoujo"
Choujin Locke: Mirror Ring,155,9522,501,,"Action, Sci-Fi, Super Power"
Sakura Nagashi,2045,5404,3837,,"Action, Sci-Fi, Music, Drama, Mecha"
Ero Semi: Ecchi ni Yaruki ni ABC - The Animation,723,6240,2671,,Hentai
ShiningâRomance,157,9914,404,,Music
Nintama Rantarou no Shouboutai,13,12602,118,,"Kids, Drama"
Mahou Shoujo Pretty Sammy (1996),1271,5158,4358,Fall 1996,"Comedy, Parody, Magic, Fantasy, Seinen"
Evil or Live Recap,1067,6584,2282,,"Psychological, School"
Doraemon Movie 04: Nobita no Kaitei Kiganjou,889,7222,1690,,Fantasy
Arc the Lad,4322,3417,11918,Spring 1999,"Action, Adventure, Fantasy, Horror, Sci-Fi"
Saint Beast: Seijuu Kourin-hen,2111,4288,6884,Spring 2003,"Action, Supernatural, Magic, Fantasy"
Bungou Stray Dogs: Dead Apple,549,2424,23983,,"Action, Comedy, Mystery, Supernatural"
Seton Doubutsuki,73,10522,290,Fall 1989,"Adventure, Fantasy"
Francesca,1001,4176,7396,Summer 2014,"Fantasy, Comedy"
Shiiku x Kanojo: Tenshi no Kousoku-hen,1455,5572,3575,,Hentai
Sengoku Majin Goushougun: Toki no Etranger,498,7410,1528,,"Action, Sci-Fi"
Ano Hi no Kanojo-tachi,10,11994,148,,Slice of Life
The Baby Birds of Norman McLaren,165,10509,296,,Music
Momoiro Bouenkyou Anime Edition,443,7473,1483,,Hentai
Gintama x Mameshiba,2642,4185,7373,,"Comedy, Parody"
Strange+ Special,398,7406,1533,,"Slice of Life, Comedy, Josei"
Hayabusa: Back to the Earth,17,11847,157,,Historical
Akame ga Kill! Recap,7374,2809,17974,,"Action, Adventure, Fantasy"
Microid S,35,10859,241,Spring 1973,"Action, Sci-Fi"
Kamiusagi Rope,34,10876,238,,"Slice of Life, Comedy"
Bishoujo Mobage: Mobami-chan,599,7729,1308,,Fantasy
Ai City,1012,5945,3010,,"Action, Super Power, Sci-Fi"
Detective Conan Movie 08: Time Travel of the Silver Sky,4655,3701,9848,Fall 2012,"Adventure, Mystery"
Majimoji Rurumo,21126,1583,47521,Summer 2014,"Comedy, Magic, Ecchi, Fantasy, School, Shounen"
Aoki Densetsu Shoot!,3930,3912,8583,Fall 1993,"Action, Comedy, Drama, Romance, School, Shounen, Sports"
SF Saiyuuki Starzinger,453,7442,1501,Spring 1978,"Adventure, Mecha, Sci-Fi, Shounen, Space"
Robotics;Notes,55782,645,130220,Fall 2012,"Sci-Fi, Mystery, Drama, Mecha, School"
Nanami-chan 3rd Series,116,10054,374,Summer 2006,"Kids, Comedy"
dwarf Movie Lab,23,13407,80,,Kids
Kino no Tabi: The Beautiful World - Tou no Kuni,13521,2320,25644,,"Adventure, Fantasy, Psychological"
Himeyuri,136,9288,568,,"Drama, Historical"
Shounen Ashibe 2,32,11065,215,Fall 1992,"Comedy, Slice of Life"
Planet With,0,8633,828,Summer 2018,"Action, Mecha, Sci-Fi"
Haitai Nanafa 2nd Season,792,6370,2520,Spring 2013,"Comedy, Supernatural"
Bouken Shounen Shadar,49,10656,267,Fall 1967,"Adventure, Horror"
Hibike! Euphonium Movie: Kitauji Koukou Suisougaku-bu e Youkoso,3368,3349,12580,Fall 2012,"Music, School"
Watashi no Ashinaga Ojisan,3375,4122,7625,Winter 1990,"Comedy, Historical, Romance, School, Shoujo, Slice of Life"
Mahou Shoujo Pretty Sammy,2090,4869,4991,Fall 2012,"Comedy, Parody, Magic, Fantasy"
Anime Document: MÃ¼nchen e no Michi,14,11756,160,Spring 1972,Sports
Kangoku Senkan,2397,4481,6154,Fall 2012,Hentai
Captain Earth,18440,1521,50722,Spring 2014,"Action, Mecha, Romance, Sci-Fi, Space"
Committed RED,138,10842,244,,Music
Sukitte Ii na yo.: Dareka ga,19080,1891,36393,,"Romance, School, Shoujo"
Mizuki Shigeru no Toono Monogatari,11,11468,181,,"Adventure, Fantasy"
Xi Yang Yang Yu Hui Tai Lang: Zhi Hu Hu Sheng Wei,51,11233,200,,"Adventure, Comedy, Kids"
Genki Genki Non-tan: Deka Deka Arigatou,6,13570,72,,"Kids, Music"
Saki Biyori Animation,766,6616,2243,,"Comedy, School, Seinen, Slice of Life"
Kiddy Grade: Ignition,1093,5407,3828,,"Action, Mecha, Sci-Fi, Super Power"
Rurouni Kenshin DVD-BOX Special Ending,4862,3433,11795,,"Historical, Romance"
Wakaba*Girl: Onsen Tsukaritai,3244,4643,5663,,"Comedy, Slice of Life"
Ryuusei Tenshi Primaveil,259,8757,771,,Hentai
.hack//Gift,8189,2894,16973,,"Comedy, Fantasy, Game"
Suteki Tantei Labyrinth,1538,4200,7322,Fall 2007,"Mystery, Sci-Fi"
Hikaru no Gen-chan,29,13408,81,,"Historical, Kids, Music"
Mahou Shoujo Isuka,1144,5717,3362,,Hentai
Charlotte,315572,72,531982,Summer 2015,"Drama, School, Super Power"
Sugar Bunnies Chocolate! Specials,8,13054,96,,Kids
Fullmetal Alchemist: Brotherhood Specials,44018,957,88422,,"Military, Adventure, Drama, Magic, Fantasy, Shounen"
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,293,8673,809,,"Adventure, Comedy, Kids, Fantasy, Shounen"
Summer Train!,180,10060,374,,Slice of Life
Wansa-kun,39,10485,296,Spring 1973,Comedy
Natsumushi The Animation,1474,5366,3900,Winter 2014,Hentai
Sekai Monoshiri Ryoko,67,10849,244,Fall 1971,Comedy
Towa no Quon 3: Mugen no Renza,13832,2413,24007,,"Action, Super Power, Psychological, Supernatural"
Aria The Origination Picture Drama,3469,4017,8034,,"Fantasy, Sci-Fi, Shounen, Slice of Life"
Doraemon: 2112-nen Doraemon Tanjou,869,7190,1711,,"Kids, Fantasy, Comedy"
Mottainai,1525,5941,3026,,Slice of Life
3Ping Lovers!âIppu Nisai no Sekai e Youkosoâª The Animation,2670,4439,6334,,Hentai
Play Ball 2nd,39,10647,270,Winter 2006,"Action, Sports, Shounen"
Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,48,10884,237,Winter 2014,"Drama, Kids"
Shikatte Ingo: Misaki Shunin no Buka Kyouiku-hen,624,7202,1701,,Hentai
Binan Koukou Chikyuu Boueibu LOVE! LOVE! LOVE!,1168,5269,4092,,"Slice of Life, Comedy, Parody, Magic, School"
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,0,8476,906,,"Action, Super Power, Supernatural"
Mobile Suit Gundam 0083: Stardust Memory,14154,2362,24951,,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
Spirit of Wonder: Shounen Kagaku Club,771,6783,2066,,"Drama, Sci-Fi, Seinen, Space"
Yuru Yuri Nachuyachumi!,22331,1751,40832,,"Comedy, Shoujo Ai, Slice of Life"
Satsujinkyou Jidai,445,8765,770,,Fantasy
Wake Up! Dodo,128,11008,224,,Music
Youtai Nuhai Zai Shanghai,29,11709,166,,"Historical, Kids, Shoujo"
Instant Music,186,10471,301,,Music
Four Seasons: Fuuka to Nanami,157,9068,654,,Cars
Tsubasa: Shunraiki,23326,1616,46128,,"Action, Adventure, Mystery, Supernatural, Drama, Magic, Romance, Fantasy, Shounen"
Michi,25,10719,259,,Drama
Sin: The Movie,1993,5556,3594,,"Action, Sci-Fi, Horror, Police, Supernatural"
Usagi-chan de Cue!!,1730,5394,3851,,"Action, Comedy, Ecchi, Magic, Romance"
Mahoutsukai Tai! OVA,2423,4743,5389,,"Comedy, Fantasy, Magic, Romance, Sci-Fi"
Ani x Para,13,13918,52,,Sports
Yariman Fudousan,728,6903,1961,,Hentai
Tom Sawyer no Bouken,1498,5769,3285,Winter 1980,"Adventure, Drama, Historical, Slice of Life"
Words Worth Gaiden,1156,6067,2869,,"Action, Adventure, Fantasy, Hentai"
Guitar Shoujo!,73,11114,213,,Slice of Life
Mu Di,110,10701,264,Winter 2013,Music
Jam the Housnail,9,13447,78,Summer 1996,"Adventure, Kids"
Fumikiri Jikan,2373,3169,14214,Spring 2018,"Comedy, Slice of Life"
Hikari no Megami,2154,5482,3726,,"Action, Fantasy"
Shin Choubakumatsu Shounen Seiki Takamaru,15,12649,116,,"Action, Comedy, Fantasy"
Zuo Ri Qing Kong,0,8387,946,,"Slice of Life, Drama, Romance, School"
Gunparade March: Arata Naru Kougunka,4644,3471,11477,Winter 2003,"Drama, Mecha, Military, Romance, Sci-Fi, Shounen, Slice of Life"
Kaze no Shoujo Emily,1194,5426,3793,Spring 2007,"Historical, Drama, Shoujo"
Lupin III: Kiri no Elusive,1365,5736,3329,,"Action, Adventure, Mystery, Comedy, Seinen"
Toki wa Meguru: Tokyo Station,1866,5591,3541,,Slice of Life
Bouken Gabotenjima,29,11045,216,Spring 1967,Adventure
Kabi Usagi: Kaichuu,24,13349,83,Winter 2013,Comedy
Gakkou no Kaidan,26738,1267,64405,Fall 2000,"Mystery, Horror, Supernatural"
Tokyo Underground,8564,2612,20940,Spring 2002,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power"
Queen&#039;s Blade: Rebellion,9025,2253,26982,Spring 2012,"Action, Adventure, Ecchi, Fantasy"
Ikkitousen,49899,832,104389,Summer 2003,"Ecchi, Super Power, Martial Arts, School"
Kugutsu Ai: Doura Gaiden,92,9899,405,,Hentai
Shuukaku no Yoru,797,6937,1935,,Hentai
Abunai Sisters: Koko & Mika,1217,6321,2572,,"Action, Comedy, Ecchi"
Neeko ga Vtuber Shite Mita,30,11064,217,,Slice of Life
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,231,8327,966,,"Music, School, Shoujo"
Silent MÃ¶bius 2,711,6880,1980,,"Sci-Fi, Adventure, Demons, Fantasy, Seinen"
Under World,62,10456,302,,Hentai
Kaibutsu Oujo: Konsui Oujo,3910,3950,8405,,"Action, Comedy, Horror, Supernatural, Vampire, Shounen"
Nanatsu no Umi no Tico Specials,40,11045,220,,"Adventure, Slice of Life"
Kobayashi ga Kawai sugite Tsurai!!,2838,4476,6186,,"Romance, School, Shoujo"
Inferno Cop,32784,1379,58002,,"Action, Police"
Higurashi no Naku Koro ni,221985,97,452086,Spring 2006,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller"
Sasuga no Sarutobi,146,8966,688,Fall 1982,"Action, Adventure, Comedy, Martial Arts, Romance, Sports"
Suteneko Tora-chan,431,8650,822,,Music
Jewelpet KiraâDeco!,440,6872,1985,Spring 2012,"Fantasy, Magic, Shoujo"
Mankitsu Happening,7843,2837,17604,,Hentai
Dragon Ball Kai (2014),35588,1164,70673,Spring 2014,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,35576,1427,55636,,"Adventure, Comedy, Drama, Fantasy, Kids"
Ai Shimai: Futari no Kajitsu,3577,4135,7578,,Hentai
Sengoku Musou: Sengoku Musou High School,161,8192,1044,,"Comedy, Samurai, School"
Kuroko no Basket,288339,85,483829,Spring 2012,"Comedy, School, Shounen, Sports"
One Room Special,2742,4358,6642,,Slice of Life
Elsword: Ain-ui Gieog Animation,451,7027,1853,,"Action, Fantasy"
Chi-Sui Maru Specials,15,12396,128,,Comedy
Shabura Rental: Ecchi na Oneesan to no Eroero Rental Obenkyou The Animation,1152,5832,3174,,Hentai
Black Bullet: Tenchuuï¼Girls,3790,3593,10555,,Fantasy
Nisekoi:,168152,235,280967,Spring 2015,"Comedy, Harem, Romance, School, Shounen"
Daimajuu Gekitou: Hagane no Oni,597,7431,1508,,"Mecha, Horror, Sci-Fi"
Kimi ga Aruji de Shitsuji ga Ore de,39774,1039,80333,Winter 2008,"Comedy, Ecchi, Harem, Parody, Romance"
Kore wa Zombie Desu ka?,219159,129,387560,Winter 2011,"Action, Comedy, Ecchi, Harem, Magic, Supernatural"
Whistle! (ONA),16,9132,628,,"Sports, School, Shounen"
Shimajirou Hesoka,21,12177,139,Spring 2010,"Adventure, Comedy, Fantasy, Kids, Magic"
Suzuka,39461,1037,80513,Summer 2005,"Sports, Drama, Romance, Shounen"
Futari no Aniyome,852,6497,2372,,Hentai
Kinkyuu Hasshin Saver Kids,88,10246,337,Winter 1991,"Action, Sci-Fi, Adventure, Comedy, Mecha"
Houkago Midnighters,403,8345,966,,"Fantasy, Kids"
Tetsuwan Atom: Ao Kishi no Kan,91,9788,433,,"Action, Mecha, Sci-Fi"
Sigh,33,13649,71,,Music
Rinne no Lagrange: Kamogawa Memoria,576,6711,2148,,"Action, Comedy, Mecha, Sci-Fi"
Tsuru Shitae Waka Kan,148,10525,291,,
Nakedyouth,2469,4871,4991,,"Slice of Life, Sports, Romance, Shounen Ai"
Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,39,13477,78,,Action
Dokkiri Doctor Special,25,11441,184,,"Comedy, Ecchi"
Nagareboshi Lens,8402,3061,15043,,"Romance, Shoujo"
Peeping Life Specials,134,10279,333,,"Comedy, Slice of Life"
Hidamari Sketch x SP,4684,3760,9489,,"Slice of Life, Comedy, School, Seinen"
Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,690,7792,1273,,Music
Garon,17,10442,305,,Sci-Fi
Tenkousei wa Uchuujin,38,13253,88,,"Kids, Music"
Kure-nai,29923,1192,68437,Spring 2008,"Comedy, Drama, Martial Arts"
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,169236,199,309650,Winter 2013,"Action, Comedy, Fantasy, Supernatural"
Calimero,1373,6207,2707,Fall 1974,Comedy
Red Colored Bridge,362,9130,629,,"Dementia, Psychological"
Koihimeâ Musou OVA,4210,3933,8468,,"Comedy, Ecchi, Fantasy, School"
Library Cross Infinite,0,9528,500,,"Game, Romance"
Ai Shimai Tsubomi... Kegashite Kudasai,1855,5052,4578,,Hentai
Digimon Adventure,150537,305,233529,Spring 1999,"Action, Adventure, Comedy, Fantasy, Kids"
Air,116985,340,215538,Winter 2005,"Slice of Life, Supernatural, Drama, Romance"
Hoero! Bun Bun,95,9911,404,Fall 1980,"Adventure, Slice of Life"
Centaur no Nayami,17707,1589,47237,Summer 2017,"Comedy, Fantasy, Seinen, Slice of Life"
Hachigatsu Kokonoka Nagasaki,3,14242,31,,"Drama, Historical"
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,1788,5358,3917,,"Comedy, Ecchi, Magic"
Mamotte! Lollipop,6737,3137,14427,Summer 2006,"Adventure, Comedy, Magic, Romance, Shoujo"
Kimi to Boku. 2,27607,1444,54856,Spring 2012,"Comedy, Drama, Romance, School, Shounen, Slice of Life"
Paul no Miracle Daisakusen,184,9457,518,Fall 1976,"Action, Adventure, Kids"
Sunoharasou no Kanrinin-san,0,4689,5545,Summer 2018,"Slice of Life, Comedy"
Ikeike! Momon-chan Specials,201,10076,372,,Comedy
Prison School,217055,133,382498,Summer 2015,"Comedy, Ecchi, Romance, School, Seinen"
Kemono to Chat,596,7674,1349,,Comedy
Kingsglaive: FFXV Fan Kansha Tokubetsu Movie,422,8006,1149,,Action
Mainichi JK Kikaku,0,6842,2014,,School
Karo to Piyobupt: Ouchi,249,9736,445,,Comedy
Oshiri Kajiri Mushi (TV) 3rd Season,158,9840,419,Fall 2014,"Comedy, Kids"
Soutai Sekai,496,5790,3240,,Sci-Fi
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,8650,2893,16988,,"Comedy, Magic, Romance, Shoujo"
Fashion no Hajimari,271,9570,492,,Comedy
Bastard!!: Ankoku no Hakaishin,11883,2407,24143,,"Action, Adventure, Comedy, Ecchi, Fantasy, Seinen"
Macross F: Choujikuu Gekijou,617,6379,2511,,"Comedy, Slice of Life"
Arslan Senki (TV): Fuujin Ranbu,43826,1022,82173,Summer 2016,"Action, Adventure, Historical, Supernatural, Drama, Fantasy, Shounen"
Kuro Nyago,1094,6532,2331,,Fantasy
Vampire Knight: Guilty,147441,299,235494,Fall 2008,"Mystery, Supernatural, Drama, Romance, Vampire, Shoujo"
Rin x Sen + Ran -> Sem: Cross Mix,2170,4729,5419,,Hentai
Lulin Da Maoxian,15,13030,98,,"Adventure, Fantasy"
IDOLiSH7 Vibrato,184,6991,1887,,Music
Mobile Suit Gundam,29311,1215,66929,Spring 1979,"Action, Space, Mecha, Military, Sci-Fi"
UrmÄ (Zanzou),97,11378,190,,"Music, Supernatural, Vampire"
Yumekui Shirokuro Baku,10,14378,18,,"Music, Demons"
Sagurare Otome The Animation,1017,6498,2373,,Hentai
Wellber no Monogatari: Sisters of Wellber Zwei,1089,5585,3549,Winter 2008,"Adventure, Fantasy, Historical, Romance"
Space Adventure Cobra,2116,4951,4801,,"Action, Adventure, Sci-Fi, Space"
Corrector Yui,3954,3808,9206,Spring 1999,"Sci-Fi, Adventure, Comedy, Magic"
Kujira (1952),223,9462,517,,Fantasy
Armitage III: Dual-Matrix,7246,3321,12883,,"Action, Adventure, Mecha, Sci-Fi"
Requiem,1217,6035,2900,,Hentai
Zouressha ga Yatte Kita,25,12307,132,,Adventure
Shuumatsu no Izetta,42231,739,116135,Fall 2016,"Action, Historical, Military"
Fate/Zero 2nd Season,313188,81,500077,Spring 2012,"Action, Supernatural, Magic, Fantasy"
Matsumotokiyoshi x Osomatsu-san,14,8082,1110,,Comedy
Himekishi Olivia,1310,5582,3555,,Hentai
Naruto x UT,15327,2158,28961,,"Action, Comedy, Super Power, Martial Arts, Shounen"
Kaitei Shounen Marine,59,10467,301,Winter 1969,"Action, Adventure, Kids, Sci-Fi"
Are wa Dare?,57,11595,171,,Kids
Koutetsu Jeeg,431,7468,1489,Fall 1975,"Action, Mecha, Demons, Sci-Fi, Shounen"
Shokupan Mimi Specials,139,10722,260,,Comedy
BlazBlue: Alter Memory Specials,422,6965,1910,,Comedy
Seiken Tsukai no World Break,77959,547,149165,Winter 2015,"Action, Fantasy, Harem, Romance, School, Supernatural"
Curly,48,12556,121,Spring 2002,Comedy
Chibi Maruko-chan,2469,4466,6212,Winter 1990,"Comedy, Slice of Life, Shoujo"
Detective Conan: The Magician of Starlight,85,7982,1167,,Space
Chinpui: Eri-sama Katsudou Daishashin,36,11980,148,Spring 2002,Comedy
Seupideuwang Beongae,109,10237,338,Spring 1998,"Action, Game, School, Shounen, Sports"
Submarine Super 99,254,8399,932,Spring 2003,"Action, Military, Sci-Fi, Adventure, Shounen"
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,1192,5580,3559,,Hentai
Wonder (Movie),455,8298,987,,Dementia
Hakujaden,1011,6348,2550,,"Adventure, Fantasy, Historical, Romance"
Kino no Tabi: The Beautiful World - The Animated Series,31656,954,88622,Fall 2017,"Action, Adventure, Slice of Life"
La Vilaine LuLu,10,12100,141,,Comedy
Geunyeoneun Yeppeotda,20,11303,193,,"Comedy, Drama, Romance"
Kekkonshiki no Tori Movie,20,14065,43,,Music
Nareuneun Dwaeji - Haejeok Mateo,14,13003,99,,"Action, Adventure, Sci-Fi, Shounen"
Perfect Day,5518,3843,9023,,Music
Seikon no Qwaser Picture Drama,3921,3542,10933,,Ecchi
Juusenki L-Gaim,534,6013,2930,Winter 1984,"Action, Sci-Fi, Adventure, Space, Drama, Mecha, Shounen"
Usalullaby,77,11401,189,,Dementia
Toufu Kozou,64,10213,345,,Comedy
Starship Troopers: Invasion,1929,5641,3467,,"Action, Military, Sci-Fi"
Soukou Kihei Votoms: The Last Red Shoulder,1165,6526,2334,,"Action, Drama, Mecha, Military, Sci-Fi"
Urusei Yatsura,5591,1953,34426,Fall 1981,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance"
